"","ID","ID-2","Zscore"
"1120-21-4","1120-21-4","1120-21-4",0.586533531886857
"107-41-5","107-41-5","107-41-5",0.778703808876387
"827-19-0","827-19-0","827-19-0",0.58543932758485
"50-22-6","50-22-6","50-22-6",0.139517413942439
"106-24-1","106-24-1","106-24-1",0.691674409572236
"54-31-9","54-31-9","54-31-9",0.084510358957845
"142-08-5","142-08-5","142-08-5",0.114532466816421
"4856-95-5","4856-95-5","4856-95-5",0.143865355458774
"623-33-6","623-33-6","623-33-6",0.627934273973924
"55-98-1","55-98-1","55-98-1",0.451228229890213
"1752-30-3","1752-30-3","1752-30-3",0.504034147262923
"7696-12-0","7696-12-0","7696-12-0",0.149650018568828
"493-52-7","493-52-7","493-52-7",0.635071266997074
"591-12-8","591-12-8","591-12-8",0.444315759517764
"94-75-7","94-75-7","94-75-7",0.337058566251373
"89-75-8","89-75-8","89-75-8",0.563917138064976
"102-60-3","102-60-3","102-60-3",0.415589345591012
"1885-38-7","1885-38-7","1885-38-7",0.0237007712856553
"1194-65-6","1194-65-6","1194-65-6",0.360270786473899
"5116-94-9","5116-94-9","5116-94-9",0.0167965322950316
"78-63-7","78-63-7","78-63-7",0.912195111182626
"552-30-7","552-30-7","552-30-7",0.10603523636973
"78-51-3","78-51-3","78-51-3",0.639806380787342
"118-71-8","118-71-8","118-71-8",0.350196920713829
"7173-51-5","7173-51-5","7173-51-5",1.04208456095512
"2078-54-8","2078-54-8","2078-54-8",0.945102346632437
"2426-54-2","2426-54-2","2426-54-2",1.12831124418866
"3025-30-7","3025-30-7","3025-30-7",1.2659648474464
"111-42-2","111-42-2","111-42-2",0.102476660219036
"1156-19-0","1156-19-0","1156-19-0",0.305664333074415
"3064-70-8","3064-70-8","3064-70-8",2.47769052814111
"79622-59-6","79622-59-6","79622-59-6",1.49633466803106
"58-86-6","58-86-6","58-86-6",0.120566953404667
